name,has_dependents,num_downloads
dlomix,False,130
artap,False,7858
wikirec,False,665
hipomap,False,1036
failuredetectorscu,False,303
tfquaternion,False,313
tfextras,False,446
mimir-visualizer,False,329
astrodash,False,7239
quple,False,6674
pyspace-toolkit,False,8070
ergo-ai,False,693
abmarl,False,690
upswingutil,False,4476
drlgeb,False,97
tf-livepatch-lr,False,321
musicntwrk,False,4444
125softnlp,True,575
keras-efficientnet-v2,False,2370
birt-gd,False,2778
lauetoolsnn,False,9257
mldashboard,False,1598
signlanguagerecognition,False,7478
vineyard-ml,False,1856
sipann,True,1293
asreview,True,6359
keras-cv-attention-models,False,3992
cell-tracking-bc,False,2555
styletransfertensorflow,False,1843
aitk.networks,True,0
aiqc,False,1649
astrorapid,False,3940
stock-analysis-engine,False,5806
rootinteractive,False,1326
lucifer-ml,False,3668
agml,False,1450
gnntf,False,743
nsc,False,275
hammer-sh,False,689
pyautomaker,False,1396
notekeras,False,4707
arabicnlp,False,782
pyautomakerhuman,False,819
eig,False,304
sonia,True,1591
panclassif,False,278
swiss-army-keras,False,1021
keras-crf,False,3082
tensorflowonspark,False,236648
kaggler,False,6072
deepcon,False,2293
yo-ds,False,1479
tsipy,False,207
celeb-detector,False,1355
xirt,False,597
resnet-models,False,352
plato-learn,False,1108
potosnail,True,1685
kwgen,False,0
kubric-nightly,False,5107
delft-physics-lab,False,1394
emupbk,False,1331
tcegoframework,False,1379
frsystem,False,310
dbnd-tensorflow,False,16695
dataset-pipe,False,529
image-caption-generator-elizastarr,False,374
roboidai,False,606
rackioai,False,1457
frapi,False,493
mcnn,False,375
ms2deepscore,True,2236
imnn,False,1883
simhandler,False,632
deeptrack,False,3852
ds-gear,False,1624
dreamsound,False,1153
angel-tag,False,493
smartcare,False,776
accuinsight,False,22031
tensordiffeq,False,1043
pyrlprob,False,2905
langml,False,676
poisson-cnn,False,232
indicate,False,1341
luna-fviz,False,341
successor,False,533
kenn2,False,610
tflash,False,209
ezst,False,3261
jaikit,False,966
tensorflow-wavelets,False,1473
quicklearn,False,142
libashish,False,335
tuttusa-datasets,False,107
inferrd,False,2343
napari-stpt,False,2259
