name,version,dependencies,filepath,imports
SignLanguageRecognition,0.0.17,tensorflow,SignLanguageRecognition-0.0.17-py3-none-any.whl,"[('SignLanguageRecognition/signLanguageRecognizer.py', (6, 7, 8))]"
mzfit,0.1,zfit,mzfit-0.1-py3-none-any.whl,"[('mzfit/core.py', (7, 8))]"
shrub,0.0.2.post6,tensorflow,shrub-0.0.2.post6-py3-none-any.whl,"[('shrub/tflite.py', (95, 97)), ('shrub/util.py', (66, 67, 68))]"
bert-multitask-learning,0.7.0,tensorflow-addons,bert_multitask_learning-0.7.0-py3-none-any.whl,"[('bert_multitask_learning/top.py', (12, 15, 16))]"
TensorFlowASR,0.8.2,tensorflow-io,TensorFlowASR-0.8.2-py3-none-any.whl,"[('tensorflow_asr/featurizers/speech_featurizers.py', (24,))]"
TensorFlowASR,0.8.2,tensorflow-text,TensorFlowASR-0.8.2-py3-none-any.whl,"[('tensorflow_asr/featurizers/wordpiece.py', (34,))]"
tfextras,0.0.4,tensorflow,tfextras-0.0.4-py3-none-any.whl,"[('tfextras/device.py', (1, 2)), ('tfextras/graph.py', (1,)), ('tfextras/io.py', (1,)), ('tfextras/params.py', (1,)), ('tfextras/train.py', (5,))]"
successor,0.2.0,tensorflow,successor-0.2.0-py3-none-any.whl,"[('successor/conventions.py', (21,)), ('successor/skaters/scalarskaters/local.py', (7,)), ('successor/skaters/scalarskaters/remote.py', (7,))]"
lucifer-ml,0.0.58,tensorflow,lucifer_ml-0.0.58-py3-none-any.whl,"[('luciferml/supervised/utils/classificationPredictor.py', (1,)), ('luciferml/supervised/utils/regressionPredictor.py', (1,))]"
tf-raft,0.1.3,tensorflow,tf_raft-0.1.3-py3-none-any.whl,"[('tf_raft/datasets/dataset.py', (7,)), ('tf_raft/layers/corr.py', (1, 3)), ('tf_raft/layers/extractor.py', (1, 3)), ('tf_raft/layers/update.py', (1, 2)), ('tf_raft/losses/losses.py', (1,)), ('tf_raft/model.py', (1, 2)), ('tf_raft/training.py', (4, 5))]"
foggy,1.0,tensorflow,foggy-1.0-py3-none-any.whl,"[('foggy/foggy.py', (21, 22, 23, 24, 25)), ('foggy/mainloop.py', (23, 24, 25, 26, 27))]"
keras-efficientnet-v2,1.1.5,tensorflow,keras_efficientnet_v2-1.1.5-py3-none-any.whl,"[('keras_efficientnet_v2/augment.py', (26, 29)), ('keras_efficientnet_v2/efficientnet_v2.py', (8, 9, 10, 11, 12)), ('keras_efficientnet_v2/progressive_train_test.py', (2, 5, 6))]"
retina-face,0.0.5,tensorflow,retina_face-0.0.5-py3-none-any.whl,"[('retinaface/RetinaFace.py', (10, 18)), ('retinaface/model/retinaface_model.py', (1, 13, 14))]"
nevopy,0.2.3,tensorflow,nevopy-0.2.3-py3-none-any.whl,"[('nevopy/fixed_topology/genomes.py', (33, 34)), ('nevopy/fixed_topology/layers/tf_layers.py', (34,)), ('nevopy/neat/genomes.py', (38,))]"
pyspace-toolkit,1.1.25.215,rasa,pyspace_toolkit-1.1.25.215-py3-none-any.whl,"[('pyspace/pandas/io.py', (37, 38)), ('pyspace/rasa/components/backup_diet_v1.py', (16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 37, 38, 39, 40, 41)), ('pyspace/rasa/components/backup_v1.py', (12, 13, 14, 28, 33, 34, 35, 46, 47, 48, 50)), ('pyspace/rasa/components/backup_v2.py', (12, 13, 14, 28, 33, 34, 35, 46, 47, 48, 50)), ('pyspace/rasa/components/backup_v3.py', (12, 13, 14, 15, 17, 18, 19, 30, 33, 35)), ('pyspace/rasa/components/backup_v4.py', (8, 12, 13, 14, 21, 22, 23, 24, 26)), ('pyspace/rasa/components/backup_v5.py', (7, 12, 16, 17, 18, 25, 26, 27, 28, 29, 31)), ('pyspace/rasa/components/backup_v6.py', (12, 13, 14, 15, 17, 18, 19, 30, 33, 35)), ('pyspace/rasa/components/bow.py', (6, 7, 8, 9, 10, 11, 12, 14, 25)), ('pyspace/rasa/components/classifier.py', (12, 13, 14, 15, 16, 17, 18, 19, 20, 21)), ('pyspace/rasa/components/clear.py', (4, 5, 6, 8, 15)), ('pyspace/rasa/components/data_management.py', (5, 6, 7, 8, 10, 11, 12, 23, 26, 28)), ('pyspace/rasa/components/diet.py', (18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 106, 107, 108, 109, 110, 111, 113)), ('pyspace/rasa/components/duckling.py', (9, 12, 13, 14, 15, 16, 17, 18)), ('pyspace/rasa/components/duckling_backup_v1.py', (4, 5, 6, 8, 10, 25)), ('pyspace/rasa/components/embedding.py', (6, 7, 8, 9, 10, 11, 12, 18, 91, 92, 93, 94, 95, 99, 98)), ('pyspace/rasa/components/fasttext.py', (11, 12, 13, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 70, 71, 72, 73, 74, 78, 84, 77)), ('pyspace/rasa/components/fasttext_backup.py', (11, 12, 13, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 69, 70, 71, 72, 73, 77, 83, 76)), ('pyspace/rasa/components/fasttext_backup_v2.py', (11, 12, 13, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 69, 70, 71, 72, 73, 77, 83, 76)), ('pyspace/rasa/components/intent_and_response_mapping.py', (8, 9, 10, 11, 13, 14, 15, 26, 29, 31, 42)), ('pyspace/rasa/components/keras.py', (11, 12, 13, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)), ('pyspace/rasa/components/lmtokenizer.py', (12, 13, 14, 15, 17, 18, 19, 30, 33, 35)), ('pyspace/rasa/components/log.py', (4, 5, 6, 8)), ('pyspace/rasa/components/normalization.py', (4, 5, 6, 8, 22)), ('pyspace/rasa/components/regex.py', (7, 12, 16, 17, 18, 25, 26, 27, 28, 29, 31)), ('pyspace/rasa/components/spacytokenizer.py', (12, 13, 14, 15, 16, 18, 19, 20, 30, 32, 35, 37)), ('pyspace/rasa/components/spacytokenizer_backup_v1.py', (12, 13, 14, 15, 16, 18, 19, 20, 31, 34, 36)), ('pyspace/rasa/components/spacytokenizer_backup_v2.py', (12, 13, 14, 15, 16, 18, 19, 20, 31, 34, 36)), ('pyspace/rasa/components/spacytokenizer_backup_v3.py', (12, 13, 14, 15, 16, 18, 19, 20, 31, 34, 36)), ('pyspace/rasa/components/spacytokenizer_backup_v4.py', (12, 13, 14, 15, 16, 18, 19, 20, 31, 34, 36)), ('pyspace/rasa/components/spacytokenizer_backup_v5.py', (12, 13, 14, 15, 16, 18, 19, 20, 30, 32, 35, 37)), ('pyspace/rasa/components/synonym_augmentation.py', (8, 9, 10, 11, 13, 14, 15, 26, 29, 31, 42)), ('pyspace/rasa/components/synonyms.py', (4, 5, 6, 7, 8, 9, 10, 12)), ('pyspace/rasa/components/synonyms_backup_v1.py', (4, 5, 6, 7, 8, 9, 10, 12)), ('pyspace/rasa/components/tokenizer.py', (11, 12, 13)), ('pyspace/rasa/components/update.py', (12, 13, 14, 15, 17, 18, 19, 30, 33, 35)), ('pyspace/rasa/components/update_backup_v1.py', (12, 13, 14, 15, 17, 18, 19, 30, 33, 35)), ('pyspace/rasa/components/update_backup_v2.py', (12, 13, 14, 15, 17, 18, 19, 30, 33, 35)), ('pyspace/rasa/components/update_backup_v3.py', (12, 13, 14, 15, 17, 18, 19, 30, 33, 35)), ('pyspace/rasa/components/batch/batch_manager.py', (5, 6, 7, 8, 10, 11, 12, 23, 26, 28)), ('pyspace/rasa/nlg/backup_memoization_policy.py', (12, 13, 14, 15, 19, 20, 21, 22, 23, 24, 32, 147)), ('pyspace/rasa/nlg/memoization_policy.py', (12, 13, 14, 15, 16, 17, 18, 135))]"
pyspace-toolkit,1.1.25.215,tensorflow,pyspace_toolkit-1.1.25.215-py3-none-any.whl,"[('pyspace/nlp/dataset/alignment.py', (130,)), ('pyspace/nlp/models/text_gcn/__not_working__text_gcn_extended.py', (6,)), ('pyspace/nlp/models/text_gcn/fast_text_gcn.py', (6,)), ('pyspace/nlp/models/text_gcn/fast_text_gcn_norank.py', (6,)), ('pyspace/nlp/models/text_gcn/text_gcn.py', (6,)), ('pyspace/nlp/models/text_gcn/text_gtn.py', (6,)), ('pyspace/nlp/preprocessing/vectorizer/xindexer.py', (4,)), ('pyspace/nlp/preprocessing/vectorizer/xpadder.py', (1,)), ('pyspace/rasa/components/backup_diet_v1.py', (8,)), ('pyspace/rasa/components/bow.py', (4,)), ('pyspace/rasa/components/diet.py', (10, 104)), ('pyspace/rasa/components/fasttext.py', (47, 49, 50, 56, 57, 58, 59)), ('pyspace/rasa/components/fasttext_backup.py', (47, 49, 50, 56, 57, 58, 59)), ('pyspace/rasa/components/fasttext_backup_v2.py', (47, 49, 50, 56, 57, 58, 59)), ('pyspace/rasa/components/keras.py', (47, 49, 50, 57, 58, 59, 60)), ('pyspace/sklearn/core/model/custom_classifier.py', (41,)), ('pyspace/sklearn/data_structure/dataset_wrapper.py', (7,))]"
autosegl3,0.11.0,tensorflow,autosegl3-0.11.0-py2.py3-none-any.whl,"[('autosegl3/models.py', (1, 2, 3)), ('autosegl3/train/train.py', (4, 6))]"
oracle-ads,2.5.0,onnxmltools,oracle_ads-2.5.0-py3-none-any.whl,"[('ads/common/model_export_util.py', (11, 433, 482, 543, 562, 446, 495, 507))]"
mcfly,3.1.0,tensorflow,mcfly-3.1.0-py3-none-any.whl,"[('mcfly/find_architecture.py', (36, 37, 38)), ('mcfly/storage.py', (26,)), ('mcfly/models/cnn.py', (1, 2, 4, 5)), ('mcfly/models/deep_conv_lstm.py', (1, 2, 5, 6)), ('mcfly/models/inception_time.py', (3, 4, 6)), ('mcfly/models/resnet.py', (3, 4, 6, 7))]"
flass,0.1.11,tensorflow,flass-0.1.11-py3-none-any.whl,"[('flass/model.py', (13,))]"
ACSNI,1.0.6,tensorflow,ACSNI-1.0.6-py3-none-any.whl,"[('ACSNI/mud.py', (8, 9, 10, 11))]"
pipeline-diacritizer,1.0.2,tensorflow,pipeline_diacritizer-1.0.2-py3-none-any.whl,"[('pipeline_diacritizer/diacritization_model.py', (13, 14, 15, 16, 17, 18))]"
pml-pinn,0.0.3,tensorflow,pml_pinn-0.0.3-py3-none-any.whl,"[('pinn/layers/core.py', (46, 48, 49, 50, 52, 54, 55, 57, 61)), ('pinn/layers/physics.py', (50, 52, 54, 56, 57, 58, 60, 61)), ('pinn/layers/rnn.py', (48, 49, 50, 51)), ('pinn/layers/util.py', (50, 51, 52, 53, 55, 57, 59, 61))]"
BPrune,0.0.1,tensorflow,BPrune-0.0.1-py3-none-any.whl,"[('bprune/src/Prune_BNN.py', (5,)), ('bprune/src/utils.py', (2, 8, 9)), ('example/Prune_BNN_CIFAR10_Model.py', (2,)), ('example/Prune_BNN_MNIST_Model.py', (2,)), ('test/demo_run.py', (2,))]"
BPrune,0.0.1,tensorflow-probability,BPrune-0.0.1-py3-none-any.whl,"[('bprune/src/utils.py', (10,))]"
maskrcnn-modanet,1.0.3,tensorflow,maskrcnn_modanet-1.0.3-py3-none-any.whl,"[('maskrcnn_modanet/processimages.py', (22, 63, 148)), ('maskrcnn_modanet/train/train.py', (28,))]"
EmuPBk,6.5.4,tensorflow,EmuPBk-6.5.4-py3-none-any.whl,"[('EmuPBk/build.py', (2,)), ('EmuPBk/models.py', (2,)), ('EmuPBk/visualize.py', (4,)), ('EmuPBk/MCMC/core.py', (2,))]"
czmodel,3.0.0,tensorflow,czmodel-3.0.0-py3-none-any.whl,"[('czmodel/convert.py', (31, 42)), ('czmodel/legacy_model_metadata.py', (25,)), ('czmodel/model_metadata.py', (21,)), ('czmodel/util/keras_export.py', (34, 52, 53)), ('czmodel/util/transforms.py', (21,)), ('test/common/common_models.py', (5, 21, 25))]"
hypernets,0.1.3,tensorflow,hypernets-0.1.3-py3-none-any.whl,"[('hypernets/frameworks/keras/__init__.py', (8,)), ('hypernets/frameworks/keras/enas_common_ops.py', (11,)), ('hypernets/frameworks/keras/enas_layers.py', (5,)), ('hypernets/frameworks/keras/enas_rl_searcher.py', (6, 7, 8, 9, 10)), ('hypernets/frameworks/keras/hyper_keras.py', (9, 10, 11)), ('hypernets/frameworks/keras/layers.py', (6,)), ('tests/keras/enas_test.py', (5, 6)), ('tests/keras/keras_layer_test.py', (14, 15)), ('tests/keras/layers_test.py', (7,)), ('tests/keras/run_enas.py', (5,)), ('tests/keras/run_enas_oneshot_rl.py', (5,)), ('tests/keras/run_single_path_mcts.py', (5,)), ('tests/keras/search_space_test.py', (13,)), ('tests/keras/sharing_weights_test.py', (6,))]"
rasa-nlu-gao,1.0.3,rasa,rasa_nlu_gao-1.0.3-py3-none-any.whl,"[('rasa_nlu_gao/classifiers/embedding_bert_intent_classifier.py', (15, 18, 30, 31, 32, 33)), ('rasa_nlu_gao/classifiers/embedding_bert_intent_estimator_classifier.py', (14, 28, 29, 30, 31)), ('rasa_nlu_gao/classifiers/entity_edit_intent.py', (11, 12)), ('rasa_nlu_gao/classifiers/kashgari_intent_classifier.py', (5, 6, 7)), ('rasa_nlu_gao/extractors/bilstm_crf_entity_extractor.py', (22, 23, 24)), ('rasa_nlu_gao/extractors/jieba_pseg_extractor.py', (15, 16, 17, 18, 19)), ('rasa_nlu_gao/extractors/kashgari_entity_extractor.py', (4, 5, 6)), ('rasa_nlu_gao/featurizers/bert_vectors_featurizer.py', (11, 12, 13, 14, 15))]"
rasa-nlu-gao,1.0.3,tensorflow,rasa_nlu_gao-1.0.3-py3-none-any.whl,"[('rasa_nlu_gao/classifiers/embedding_bert_intent_classifier.py', (29, 36)), ('rasa_nlu_gao/classifiers/embedding_bert_intent_estimator_classifier.py', (16, 27, 34)), ('rasa_nlu_gao/classifiers/embedding_intent_classifier.py', (27, 34)), ('rasa_nlu_gao/classifiers/kashgari_intent_classifier.py', (15,)), ('rasa_nlu_gao/extractors/bilstm_crf_entity_extractor.py', (38, 42)), ('rasa_nlu_gao/extractors/kashgari_entity_extractor.py', (14,)), ('rasa_nlu_gao/models/lenet.py', (4,)), ('rasa_nlu_gao/models/model.py', (2, 3, 4, 5, 6)), ('rasa_nlu_gao/models/bert/encoder.py', (8, 9, 10)), ('rasa_nlu_gao/models/bert/extract_features.py', (19, 20)), ('rasa_nlu_gao/models/bert/modeling.py', (27,)), ('rasa_nlu_gao/models/bert/optimization.py', (22,)), ('rasa_nlu_gao/models/bert/tokenization.py', (26,)), ('rasa_nlu_gao/utils/bilstm_utils.py', (10,))]"
