name,has_dependents,num_downloads
diffdart,False,4240
nerda,True,6698
torchfun,False,8101
textattack,True,4802
neuralnets,False,6667
torchtext,True,130207
torchaudio,True,402340
torchvision,True,3556594
nimblephysics,False,6634
clip-retrieval,False,6484
nowcasting-dataloader,True,17011
leibniz,True,5736
diffq,True,9186
d3rlpy,True,4802
easyocr,True,124254
pytorch-segmentation-models-trainer,False,4126
t5,True,10376
tmh,False,5564
pyabsa,False,5488
thop,True,307726
bertstem,False,5009
hugsvision,False,5487
cca-zoo,False,6682
vector-quantize-pytorch,True,4737
k2,False,7895
facexlib,True,14172
incendio,False,4528
dnn-cool,False,4608
poutyne,True,7743
nowcasting-dataset,True,35741
pgmpy,True,65647
speechbrain,True,7082
triton,True,36422
rltrade-test,False,13818
detoxify,True,4573
dnn,False,6591
local-attention,True,25671
nncf,False,6877
deepparse,False,6055
tfkit,True,15416
stylegan2-pytorch,True,6375
kwimage,True,10337
asteroid-filterbanks,True,4149
siren-pytorch,True,4425
minetorch,False,4391
detecto,True,4151
torch-tools,True,9061
pytorch-metric-learning,True,149907
sherlockpipe,False,7120
deepforest,False,14253
reformer-pytorch,False,27278
webdataset,True,33006
pymde,False,8339
torch-fidelity,False,6579
hugging-gan-test,False,3937
bestof,False,4368
compressai,True,4561
tonic,False,4586
contextualspellcheck,False,4599
librec-auto,False,7569
pytorch-adapt,False,5420
megatron-lm,False,5987
unbabel-comet,False,3830
causalml,True,40952
nemo-toolkit,True,8686
taming-transformers,True,23687
dall-e,True,10956
ginnirodqn,False,4560
iglovikov-helper-functions,True,4703
pytorch-msssim,True,6135
fastai,True,337686
tempeh,True,4686
pytorch-ignite,True,130543
jlpyutils,False,4867
ailever,False,99138
asteroid,False,5373
stanfordnlp,True,4375
mindsdb,False,26987
darts,True,17999
fairseq,True,33910
torch-snippets,False,7741
top2vec,False,12767
kwarray,True,33689
ptflops,True,8354
bertopic,False,25973
layoutparser,True,4760
cnvrg,False,311857
pytorch-ranger,True,59782
contextualized-topic-models,True,10658
efficientnet-pytorch,True,255436
lightweight-gan,False,6296
pytorch-nlp,True,9006
higher,True,47454
deepecho,True,19422
dice-ml,False,23462
face-alignment,True,8549
pywick,False,5344
draugr,False,6076
pysurvival,False,6774
monai,True,21149
nnsplit,True,4097
allennlp,True,59748
memcnn,True,5328
adabelief-pytorch,True,4068
lpips,True,37242
cornac,True,15522
torch-lr-finder,True,51078
torchdiffeq,True,8830
pytorch-transformers,True,57299
dropblock,False,5418
catalyst,True,18393
pytorch-pretrained-bert,True,130518
bert-score,True,19032
pytorch-pretrained-biggan,True,8345
sru,True,4417
sdmetrics,True,21711
dre,False,6906
timm,True,243635
medcat,True,15575
ctgan,True,21488
lale,False,6164
kraken,True,4021
hub,False,6620
torchgeometry,True,5452
resnest,False,39361
spacy-transformers,True,139511
flair,True,73236
kornia,True,184226
openpifpaf,True,15504
pytorch-tabnet,True,35453
lightwood,True,10941
smplx,False,7165
laserembeddings,True,4280
brevitas,False,15598
torchio,True,17755
snntorch,False,4394
underthesea,True,11276
bxtorch,False,11441
netcal,True,7164
geffnet,True,8364
botorch,True,143113
snorkel,True,57766
pytorch-lightning,True,865512
torchfunc-nightly,False,37834
big-sleep,False,13457
deep-daze,False,24195
torchlayers-nightly,False,33307
torchdata-nightly,False,37127
x-transformers,True,14356
pfhedge,False,7344
fastai2,True,4265
accern-xyme,False,7192
alphafold2-pytorch,True,14084
en-transformer,True,7948
dalle-pytorch,False,12842
opacus,True,4608
scvi-tools,True,4562
pytorch-forecasting,True,19481
lightning-flash,True,3947
e2eml,False,4154
torchmetrics,True,768612
cannai,False,12496
cellpose,True,6867
junky,True,11163
ogb,True,9305
yolov5,True,9009
monai-weekly,False,6419
causalnex,True,5567
performer-pytorch,True,4708
aimodelshare,False,13650
stanza,True,85999
lightning-bolts,True,39773
sdv,True,21383
ghostscan,False,7385
stable-baselines3,True,48040
vit-pytorch,True,12215
basicsr,False,41438
gfpgan,True,10534
u8darts,True,5291
pyro-ppl,True,80977
mordl,False,3973
aim-cli,False,28444
ibllib,True,6947
mlops-sdk,False,7334
captum,True,37992
useis,False,4670
hebo,True,25243
accelerate,True,63460
opennmt-py,True,6507
torch-optimizer,True,63140
rotary-embedding-torch,True,4310
neuralprophet,False,45872
espnet,True,5801
allennlp-models,True,23793
g-mlp-pytorch,True,4449
gpytorch,True,165494
pytorch-toolbelt,True,10320
effdet,True,24617
ivadomed,False,5427
fast-bert,False,3882
deepke,False,6255
syft,True,7062
attacut,True,4194
fastseg,False,6320
mmfunctions,False,36684
nuscenes-devkit,True,10665
abdothebest,False,4734
farm,True,6825
redbrick-sdk,False,9111
phobos,False,6393
mlagents,True,49553
torchcsprng,True,5593
tsai,False,3914
geniverse,False,6206
pysnakegym,False,3898
jarvisai,False,10782
dsframework,False,5800
ai-python,False,6798
sktmls,False,5310
lcbuilder,True,5235
pangeamt-nlp,True,6572
ax-platform,True,121485
namazu,False,4809
datupapi,False,8249
empyrial,False,5529
plagdef,False,3890
espnet-model-zoo,True,7452
farm-haystack,True,6950
unpackai,False,8412
fastbook,False,19831
polyfuzz,False,19538
abraham3k,False,5753
kwcoco,True,4788
iunets,False,4079
pl-nightly,False,27360
perceptilabs,False,15314
gym-unity,False,3907
ceia-soccer-twos,False,3947
pyspace-toolkit,False,8070
pangeamt-tea,False,5792
bnlearn,False,11762
graph-scheduler,True,12544
hmobster,False,4859
ray-lightning,False,17670
lightly,True,4774
cltk,True,7209
partnlp,False,4163
argostranslate,True,7106
trax,False,5174
aif360,True,7408
segmentation-models-pytorch,True,40398
nn-trainer,False,5246
mlbench-core,False,20147
ddddocr,False,11840
facenet-pytorch,True,12539
gibson,False,5624
pytorch3d,True,9300
espnet-tts-frontend,True,6951
bdrk,False,7619
