name,has_dependents,num_downloads
artap,False,7858
astrodash,False,7239
quple,False,6674
pyspace-toolkit,False,8070
upswingutil,False,4476
musicntwrk,False,4444
lauetoolsnn,False,9257
signlanguagerecognition,False,7478
asreview,True,6359
keras-cv-attention-models,False,3992
astrorapid,False,3940
stock-analysis-engine,False,5806
notekeras,False,4707
tensorflowonspark,False,236648
kaggler,False,6072
kubric-nightly,False,5107
dbnd-tensorflow,False,16695
deeptrack,False,3852
accuinsight,False,22031
neuralintents,True,3877
barbell2,True,5142
librec-auto,False,7569
ddsp,False,4090
dxc-industrialized-ai-starter,False,4929
elephas,False,30712
smitotext,False,5126
keras-rl2,True,4078
clu,True,6821
nlp-primitives,False,18420
bs-ds,False,7290
jlpyutils,False,4867
mesh-tensorflow,True,341773
edward,False,6769
easiersdk,False,4558
malaya,True,6187
demyst-analytics,False,5576
jarvisai,False,10782
automl,False,4499
aether,False,4693
recsim,False,49959
keras-tcn,True,5950
causalml,True,40952
bestof,False,4368
tempeh,True,4686
dopamine-rl,True,1062459
spektral,True,5557
alibi,True,14614
rasa-core,True,112808
caer,True,10763
magenta,True,9596
ailabtools,True,7279
homevee,False,4427
deepxde,False,5633
mindsdb,False,26987
seldon-core,False,22496
gpflow,True,8282
onnx-tf,True,36294
adversarial-robustness-toolbox,True,9569
top2vec,False,12767
sparkflow,False,28094
pyserini,True,4475
antinex-core,False,4754
streamlit,True,702001
studioml,False,4292
notedrive,True,9490
ml-logger,True,11256
fancyimpute,True,8319
tflibs,False,3939
keras,True,7614740
keras2onnx,True,133676
scikeras,False,14009
econml,False,48805
deepface,True,38689
retina-face,True,9009
cornac,True,15522
deepctr,True,11614
stable-baselines,True,11522
anyrl,False,7860
stellargraph,True,20274
tensorflow-serving-api,True,20775548
nlpia,True,4871
tensorflow-probability,True,1242721
tensorflow-lattice,False,5579
mlagents,True,49553
azureml-train-automl,True,39068
tensorflowjs,True,47950
mindmeld,False,7027
cloud-tpu-profiler,False,9719
optimuspyspark,False,7515
g2p-en,True,30827
muffnn,False,6514
tensorflow-tensorboard,True,27555
azureml-automl-core,True,1768685
memcnn,True,5328
tensorflow-io,True,173459
omnis,False,11983
medaka,False,8188
witwidget,True,8495
tensorflow-ranking,True,38095
perceptilabs,False,15314
rasa-hydra,False,5441
rasa,True,241637
segsrgan,False,3913
isr,False,7114
tensornetwork,True,18200
tensorflow-federated,True,4308
catalyst,True,18393
dice-ml,False,23462
seqeval,True,342784
deepforest,False,14253
tensorflow-text,True,1577582
sciann,False,9450
tensorflow-privacy,False,22446
hub,False,6620
pl-nightly,False,27360
tfx-bsl,True,9248435
tensorflow-cloud,True,776769
ml-metadata,True,864916
tfx,True,756936
tensorflow-data-validation,True,7485295
tensorflow-model-analysis,True,7194480
tensorflow-transform,True,8745780
ethnicolr,False,8057
strawberryfields,False,4608
deeppavlov,True,12269
textattack,True,4802
targetran,False,3878
fern2,False,6969
keras-tuner,True,934848
alibi-detect,True,16247
deeplabcut,True,12469
autoai-ts-libs,False,5723
gordo,False,6662
turicreate,True,43181
deepcut,True,15934
bert-for-tf2,True,19663
tf2crf,True,4025
pynovice,False,3868
gretel-synthetics,False,4158
spark-tensorflow-distributor,False,10507
ibats-common,True,8301
aspect-based-sentiment-analysis,False,5718
ciphey,False,18428
tensorflow-addons,True,7460753
cellfinder,False,9356
attention,False,15680
miscnn,False,4406
struct2tensor,False,301793
opennmt-tf,True,11489
spacy-universal-sentence-encoder,True,18718
bert-multitask-learning,False,4101
bark-ml,False,20987
tfg-nightly,False,23379
focal-loss,True,68358
pyhand-earth,False,7376
tf-models-official,True,113767
autokeras,True,37728
ai-python,False,6798
python-doctr,False,19000
spleeter,True,9892
dataprofiler,False,5649
tensorflow-recommenders,False,243644
tensorflowasr,False,5275
scann,False,16829
c3-toolset-nightly,False,32306
redbrick-sdk,False,9111
tensorflow-similarity,False,5495
cellfinder-core,True,4554
tflite-model-maker,False,8466
deep-autoviml,False,4646
tensorflow-decision-forests,False,11943
aimodelshare,False,13650
botnoi,False,5281
cannai,False,12496
armadillin,False,74418
datupapi,False,8249
alphafold-colabfold,False,19109
cemotion,False,4064
tensor2tensor,True,341073
simba-uw-tf,False,7448
simba-uw-tf-dev,False,18293
keras-metrics,True,15541
keras-tqdm,True,7290
iglovikov-helper-functions,True,4703
dnn-cool,False,4608
pynets,False,5518
fsds,False,4126
espnet,True,5801
espnet-tts-frontend,True,6951
onnxmltools,True,127337
iunets,False,4079
levatas-alira,False,12410
mlmd-dataset-management,False,4941
gym-unity,False,3907
notedata,True,7061
pyabsa,False,5488
simpletransformers,True,54789
fast-bert,False,3882
paddlenlp,True,25183
underthesea,True,11276
farm,True,6825
pymedphys,False,6858
namazu,False,4809
appzoo,False,43535
aif360,True,7408
trax,False,5174
vit-keras,False,3879
kfac,True,952504
t5,True,10376
seqio,True,8000
jupyter-tensorboard,False,4293
microtokenizer,True,5955
bdrk,False,7619
espnet-model-zoo,True,7452
farm-haystack,True,6950
azureml-train-automl-runtime,True,83520
azureml-automl-runtime,True,87710
paddlehub,True,11180
paddlefsl,False,10953
